"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pcsk1",27.0068097164168,-3.01961393576045,0.421384679044249,-7.16593195227054,7.72591449409555e-13,7.78358371339621e-12
"Spz1",4.74554926416503,2.1963266376262,0.804440356334111,2.73025417028431,0.00632855123231317,0.0155474662134958
"Bhmt",259.828558334452,-2.12267098710764,0.117891079356844,-18.0053571371803,1.76855360621846e-72,2.28246688405464e-70
"Crhbp",3.99039975830432,2.78184954342681,1.05135319601892,2.64597050159798,0.0081456919421778,0.0194916740059068
"Rgs7bp",1.92107261108701,3.76626917741227,1.4631772530668,2.57403480645849,0.0100520160304029,0.0234660332075682
"Ccno",129.311721061751,4.38031867058754,0.301760706230464,14.5158683027543,9.61326182882614e-48,6.2489736174807e-46
"BC147527",11.1450319447758,2.19123874833386,0.620313218801824,3.53247147072954,0.000411694645067754,0.00132204377396349
"Tmem254a",12.1930723776113,2.00618622095595,0.607943612868284,3.29995443408105,0.000967005277443836,0.00288518736255222
"1700024G13Rik",4.90722131370092,3.06079537351545,1.20418669859982,2.54179470432153,0.011028492935654,0.0254761933100728
"Slc18a3",10.0372119672654,2.01296872645738,0.638294087619923,3.15366970413804,0.00161231454552653,0.00457581596780971
"Vstm4",12.1245930561306,3.68022079519426,0.800946851349111,4.59483770863861,4.33086202853749e-06,1.9609211658533e-05
"2610528A11Rik",7.89577335127752,-2.31519167402946,0.993656640381875,-2.32997152128899,0.0198076563527552,0.0427200746490686
"Gm10377",2.95252855835223,4.89261652217615,1.53817078666657,3.18080187491996,0.00146868034619673,0.00420053982547789
"Ero1l",1824.527869431,-2.13484037877687,0.0705444804619859,-30.2623304445096,3.5912405038991e-201,2.88621469770182e-198
"Sall2",526.499794944655,2.55288328806933,0.115106346811488,22.1784754601781,5.54253459499418e-109,1.34243224896017e-106
"Cmtm5",6.40315161195908,-2.32447050424502,0.768100357431827,-3.02625884984219,0.00247600236868788,0.00669391404904747
"Jph4",55.9366061722672,3.60939999723663,0.37124537529608,9.7224106680333,2.41983539003003e-22,5.09953629691549e-21
"Cbln3",13.4081706576952,-3.58895898760444,0.652933671625971,-5.49666703306481,3.87036491319526e-08,2.33635787061131e-07
"Khnyn",577.816096769694,-2.14134057294293,0.104345375370314,-20.5216624631754,1.37914749939625e-93,2.70941188186946e-91
"A930011O12Rik",28.3673638564683,3.97705199124553,0.561636608609499,7.0811836876017,1.42928296301688e-12,1.41100793238981e-11
"Stc1",28.5140534457549,-3.20578253540028,0.426799321205555,-7.51121751165185,5.85799653668282e-14,6.5471072544304e-13
"Loxl2",1157.8093647383,-2.38458928696858,0.0768131998414959,-31.0440040499443,1.3745534330259e-211,1.42961642643123e-208
"Lgi3",21.108491306033,-3.70230728157789,0.477427651684415,-7.7546980542827,8.85539207711272e-15,1.06294763961595e-13
"Htr2a",3.90342388021909,-3.05441066558392,1.06061403114416,-2.87985127095567,0.00397862809839839,0.0102725063387532
"Cpb2",3.91954369332416,2.4956264398491,1.07665791431824,2.31793813676592,0.0204526834226063,0.0439664310753922
"Tnfsf11",31.6881844539167,2.91411116648708,0.440536021770611,6.61492141953484,3.7174916464651e-11,3.22200832358576e-10
"Pcdh8",46.9000494226472,2.73196144242096,0.373996558090969,7.30477696470259,2.77727035137404e-13,2.9159689479005e-12
"Mir17",1.74001559639946,3.70843774190545,1.61219548431683,2.30024074498441,0.0214345846343676,0.0457932444321234
"Gpc5",3.093469483141,3.89444322282393,1.42185941889047,2.73897909391276,0.00616302923067726,0.0151893671351554
"Gm9376",20.8302827853332,-2.33007409052332,0.387218421573294,-6.01746704368061,1.77167368967188e-09,1.27596588623578e-08
"Fgf14",3.68096881932771,-2.11710378015125,0.902861959289957,-2.34488091824825,0.0190331574187249,0.0412750328204756
"Cdh9",18.4416955013937,2.49887567971856,0.449448455326145,5.55987154946441,2.69973272659435e-08,1.66843671230041e-07
"Cpq",13.0535824763717,-2.39390481652361,0.532617284164171,-4.49460595384233,6.96988927252264e-06,3.07088492966541e-05
"Baalc",6.93583442078834,-2.12028538483872,0.852209315856388,-2.48798663120461,0.0128468562143283,0.0291510863354131
"Enpp2",310.050752432427,5.7680312297977,0.390996945379573,14.7521132785275,2.98179459178262e-49,2.0674945167572e-47
"Fam84b",95.1082839704316,3.38078980721662,0.257693319069777,13.1194313435079,2.54839969782059e-39,1.21450822256512e-37
"Ndrg1",989.952120945543,-2.07143668052001,0.0674070377683637,-30.730273115372,2.24381068646948e-207,1.88918174987937e-204
"Ly6i",17.0956675124817,-3.32272026109886,0.540085023259389,-6.15221699917986,7.64072340287576e-10,5.69783342413523e-09
"Ly6a",516.09367884982,-2.72291087919372,0.102123344185402,-26.662962331613,1.26620704621685e-156,6.21883521782227e-154
"Lgals2",8.31973932661235,3.72891741455149,0.683723125837977,5.45384128989538,4.92932009466895e-08,2.93254739548592e-07
"Grap2",11.4166808569818,2.16663946184468,0.578675412220753,3.74413603220134,0.000181015567359068,0.000626082990312144
"Dnajb7",1.79920887114475,4.85237550806081,1.67240813023449,2.90143023125608,0.00371463487313207,0.00965008216159977
"Tbrg3",20.5805979127214,4.28968672635582,0.620658508688469,6.91150877061281,4.79525881407649e-12,4.52669359806121e-11
"Mlc1",3.70087915076936,2.47945494237154,0.931809446269044,2.66090342000637,0.00779313072807803,0.0187393369241327
"Adm2",14.3140364814597,-2.54777881359833,0.454185303292639,-5.60955802648849,2.0284397782802e-08,1.27632895799901e-07
"Smgc",5.37295156746957,-2.33559500860339,1.03053470989997,-2.26639140454581,0.0234274294016755,0.0494202606720644
"Ccdc184",69.711695904493,-2.39698431818733,0.21373093025752,-11.2149622672734,3.44333230009957e-29,1.08137759143979e-27
"Mir6960",1.59600131526378,4.59659468253569,1.62626851562387,2.82646723980408,0.00470645579342809,0.0119321544140525
"Kcnh3",128.444948396648,2.31975382705694,0.186191596771706,12.4589609159496,1.24988507024102e-35,5.13935300626313e-34
"Aqp6",3.60243930808831,3.04933735569992,1.01568104746232,3.0022587930716,0.00267984250607152,0.00718566808459971
"Soat2",48.542546724892,2.26291562611897,0.246100053613814,9.1951041573928,3.7463147687909e-20,6.86410273854839e-19
"BC048502",1.79729482108975,3.66466515249404,1.59629199119769,2.29573610135353,0.0216909749443756,0.0462515832117106
"Rbfox1",16.8156087544906,3.56398184760594,1.29153890589309,2.75948469793984,0.00578925983086522,0.0143723537025453
"Cldn26",1.45732925611135,4.10876154858764,1.63048887113834,2.51995681866817,0.0117369231833098,0.0268808988088213
"Ciita",4.73686332901,2.88230293531066,0.948868884868245,3.03761982427201,0.00238454580911757,0.00648442475929871
"Cldn1",6.2574484933784,2.15827307066765,0.802738299882209,2.68863846534337,0.00717440743049949,0.0173839520047501
"Gmnc",4.51929073869221,3.44004151004888,0.923114280981149,3.72656081800898,0.000194110251039122,0.000666549494780098
"Fbxo40",22.368864559815,2.51636823447665,0.400138785902557,6.28873861552989,3.20055831099633e-10,2.50172729870584e-09
"4930435E12Rik",1.11611696689638,4.10023993486258,1.71599602738147,2.38942274308138,0.0168748725653277,0.0371516152194694
"4932412D23Rik",5.18839452943465,2.40482208986387,0.944905867598051,2.54503879415727,0.0109265598298066,0.025270438764004
"Tigit",6.49399630405863,-2.11395634792511,0.663619222779028,-3.18549595214034,0.00144506125447862,0.0041376725571557
