"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Espnl",14.3543000627103,-2.34048887577466,0.704040439857138,-3.32436710063073,0.000886194597049783,0.00223488898451536
"Gpr35",12.1527808001415,-3.54954831698233,0.777151632038624,-4.56738192477465,4.93853699147021e-06,1.7463654509237e-05
"2310007B03Rik",8.16101964621338,-6.47770208345858,1.25674422940158,-5.15435196113298,2.54509527769112e-07,1.04748206715216e-06
"Sned1",81.2003778425016,3.92042839710489,0.397511491968337,9.8624278198658,6.05668719282156e-23,8.3990812750022e-22
"Ano7",8.14544654567453,2.70679799377559,1.12908322250105,2.3973414358064,0.0165145269911782,0.0324653493141007
"Bok",283.062410042309,2.48421789119396,0.235280668222905,10.5585295636801,4.63871104038107e-26,7.60826065908884e-25
"St8sia4",13.0316574490625,4.40136497675205,1.21940068924611,3.60944931027811,0.000306847725229239,0.00083828408989156
"Cdh20",3.73047485034269,9.71826603506933,2.76260751839401,3.5177874418871,0.000435160776578664,0.00115770052523132
"Rnf152",22.4449141614333,2.392027196531,0.637999240706757,3.74926339078582,0.000177354738907589,0.000502936509803541
"Serpinb2",15.1989860629122,-9.7855073899579,1.46898081331306,-6.66142627682673,2.71182823407061e-11,1.66601233518424e-10
"2900060B14Rik",7.14757113687174,6.33327698278281,1.75002002085344,3.61897401590539,0.000295773331584618,0.00080990681055407
"Gli2",311.827216203923,3.79258550545398,0.322730552407075,11.7515539733289,6.93319811216877e-32,1.48950031374552e-30
"Steap3",779.592758586887,-2.14927324634392,0.150839243500281,-14.248767074597,4.56265527704486e-46,1.55437972935318e-44
"Tmem163",7.99925478722304,4.79835274244433,1.41472360734294,3.3917245160391,0.000694542338799221,0.00178413527419861
"Cxcr4",39.6583226470881,4.02597662295507,0.663046599897104,6.07193615588988,1.26377179199377e-09,6.67405885730042e-09
"Daf2",44.0862434627522,-2.3361404215353,0.420654650249342,-5.5535827790102,2.79873034671166e-08,1.28065091253129e-07
"Il10",9.93750639311852,14.0085071879228,2.49972235668936,5.60402524321769,2.09430186669442e-08,9.73176118397479e-08
"5430435G22Rik",18.5428322530428,-3.75893323329317,0.640655681942154,-5.86732208773663,4.42889822332091e-09,2.20584083060668e-08
"Slc26a9",17.9771854823906,-2.8006094871384,0.678446055896404,-4.12797666490678,3.65969242583169e-05,0.00011472876202328
"Lrrn2",67.5172717736628,4.74666986078372,0.518916384348339,9.14727305584047,5.83887904621307e-20,6.66476568212352e-19
"Etnk2",204.804478213489,3.13563018124533,0.270700445066175,11.5833949976654,5.00248681424623e-31,1.03087376879589e-29
"Prelp",22.9653587951527,-6.06230383907589,0.685992450967373,-8.83727485707306,9.80816314989234e-19,1.03225078960266e-17
"Chit1",17.120814869508,-4.69164462982797,0.797379113910642,-5.88383185360651,4.00875112767787e-09,2.00619101863777e-08
"Chil1",11.4173858374895,-3.53054340349266,0.877992340287531,-4.02115513027876,5.79134484818885e-05,0.000176211957082821
"Csrp1",3721.1071847388,-2.04385254725559,0.102768220588242,-19.8879822532358,5.17143223721008e-88,4.52653927654017e-86
"Gm19705",106.740667331205,3.45063186018551,0.33967997112972,10.1584790198529,3.0377830362036e-24,4.53640556276317e-23
"Crb1",1.67815949953569,8.13920686332093,2.92435751188103,2.78324617638339,0.0053817954172746,0.0117883454872191
"Rgs2",48.8912823725746,6.02133946887817,0.698971803389999,8.614567053599,7.02063856736306e-18,7.00123578734045e-17
"Hmcn1",26.4990231263845,3.31531720961666,0.776720157985599,4.26835479359109,1.9691994798857e-05,6.40732719982685e-05
"Lamc2",580.922560447432,-2.87621578489964,0.175750909012471,-16.3652967774724,3.38374232836746e-60,1.64815284043705e-58
