"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pi15",24.9967834392227,2.83818544398249,0.452720401855483,6.26917945899971,3.62955630235261e-10,3.78385524657408e-09
"Ptp4a1",95.3873109406088,2.06354282165833,0.204294762598592,10.1008111779785,5.47871088938239e-24,2.11043763039586e-22
"Cfc1",13.3301407677641,3.05611896250095,0.789074912492622,3.87304033383461,0.000107486031008339,0.000465570924610104
"Sdpr",7.90515354540461,-2.94065573466029,0.677570251750617,-4.34000124276798,1.42481910224137e-05,7.47543814443019e-05
"Cxcr2",5.22821128206292,2.13381090311028,0.823131268183919,2.59230937468592,0.00953339977648925,0.0253779044637318
"Catip",40.0287550255615,2.13926624886859,0.318482517967482,6.71706020952464,1.85427365717432e-11,2.29108403441643e-10
"Ihh",29.889137915621,2.03032582386737,0.321128111224032,6.32247926264834,2.5739957634489e-10,2.75990412938387e-09
"Sp100",3.29904224302709,-3.40605929297106,1.39038400731468,-2.4497255974264,0.0142965119729608,0.0361153921064251
"2810459M11Rik",36.359090195654,2.107566568909,0.312383730143247,6.7467232302481,1.51221337154504e-11,1.89627266824736e-10
"Htr2b",8.15813839001624,3.37720359582999,0.809647066704065,4.17120463312244,3.02993612281304e-05,0.000148276503148235
"Mir3535",4.65503896132587,2.05243382212471,0.799600702394394,2.56682343572075,0.0102634858289985,0.027105107235627
"Ecel1",9.4151011453849,-2.04202784372438,0.646925271385437,-3.15651271336368,0.00159667926782959,0.00528272569882018
"Sag",3.3103677645206,3.5573718942813,1.41313287878387,2.51736545634883,0.0118236117660485,0.0306080936508789
"2410088K16Rik",53.2592219447791,2.09749582370258,0.261851466481683,8.01025043657453,1.14475090494915e-15,2.25644824419241e-14
"Gpr35",12.1527808001415,-2.24137938762428,0.521593949409408,-4.29717290655337,1.72990255972565e-05,8.9121232979339e-05
"Cdh20",3.73047485034269,4.18391757353297,1.48475396266614,2.81791978922892,0.00483358832159568,0.0140725630024919
"Serpinb2",15.1989860629122,-2.36566808393161,0.558048210431972,-4.23918227799781,2.24335453009529e-05,0.000113133917417612
"2900060B14Rik",7.14757113687174,2.88790869323899,0.941177390653293,3.06839998699334,0.0021520835154684,0.00689181346818443
"Sctr",2.68953274755328,3.17248799547782,1.30378985202515,2.43328170605873,0.0149626546254567,0.0375787921069176
"Il10",9.93750639311852,5.87029535149515,1.29487326399323,4.5334902764089,5.80169381797553e-06,3.26999516721789e-05
